Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (RCB),2024-2024,15,15,3,741,113*,61.75,479,154.69,1,5,0,62,38
RD Gaikwad (CSK),2024-2024,14,14,3,583,108*,53,413,141.16,1,4,2,58,18
R Parag (RR),2024-2024,16,14,3,573,84*,52.09,384,149.21,0,4,0,40,33
TM Head (SRH),2024-2024,15,15,1,567,102,40.5,296,191.55,1,4,3,64,32
SV Samson (RR),2024-2024,16,15,4,531,86,48.27,346,153.46,0,5,1,48,24
B Sai Sudharsan (GT),2024-2024,12,12,1,527,103,47.9,373,141.28,1,2,0,48,16
KL Rahul (LSG),2024-2024,14,14,0,520,82,37.14,382,136.12,0,4,0,45,19
N Pooran (LSG),2024-2024,14,14,6,499,75,62.37,280,178.21,0,3,1,35,36
SP Narine (KKR),2024-2024,15,14,0,488,109,34.85,270,180.74,1,3,1,50,33
Abhishek Sharma (SRH),2024-2024,16,16,1,484,75*,32.26,237,204.21,0,3,0,36,42
H Klaasen (SRH),2024-2024,16,15,3,479,80*,39.91,280,171.07,0,4,0,19,38
RR Pant (DC),2024-2024,13,13,2,446,88*,40.54,287,155.4,0,3,0,36,25
F du Plessis (RCB),2024-2024,15,15,0,438,64,29.2,271,161.62,0,4,0,47,21
PD Salt (KKR),2024-2024,12,12,1,435,89*,39.54,239,182,0,4,1,50,24
YBK Jaiswal (RR),2024-2024,16,15,1,435,104*,31.07,279,155.91,1,1,1,54,16
Shubman Gill (GT),2024-2024,12,12,1,426,104,38.72,289,147.4,1,2,0,37,15
RG Sharma (MI),2024-2024,14,14,1,417,105*,32.07,278,150,1,1,1,45,23
NT Tilak Varma (MI),2024-2024,13,13,3,416,65,41.6,278,149.64,0,3,0,35,19
S Dube (CSK),2024-2024,14,14,3,396,66*,36,244,162.29,0,3,2,28,28
RM Patidar (RCB),2024-2024,15,13,0,395,55,30.38,223,177.13,0,5,1,21,33
MP Stoinis (LSG),2024-2024,14,14,2,388,124*,32.33,263,147.52,1,2,1,39,16
T Stubbs (DC),2024-2024,14,13,6,378,71*,54,198,190.9,0,3,1,24,26
VR Iyer (KKR),2024-2024,15,13,5,370,70,46.25,233,158.79,0,4,0,35,19
JC Buttler (RR),2024-2024,11,11,2,359,107*,39.88,255,140.78,2,0,1,36,12
Shashank Singh (PBKS),2024-2024,14,14,6,354,68*,44.25,215,164.65,0,2,2,28,21
SS Iyer (KKR),2024-2024,15,14,5,351,58*,39,239,146.86,0,2,1,34,14
SA Yadav (MI),2024-2024,11,11,1,345,102*,34.5,206,167.47,1,3,3,36,18
Prabhsimran Singh (PBKS),2024-2024,14,14,0,334,71,23.85,213,156.8,0,2,1,34,20
J Fraser-McGurk (DC),2024-2024,9,9,0,330,84,36.66,141,234.04,0,4,1,32,28
Abishek Porel (DC),2024-2024,14,12,2,327,65,32.7,205,159.51,0,2,1,36,13
KD Karthik (RCB),2024-2024,15,13,4,326,83,36.22,174,187.35,0,2,1,27,22
Ishan Kishan (MI),2024-2024,14,14,0,320,69,22.85,215,148.83,0,1,2,35,16
DJ Mitchell (CSK),2024-2024,13,13,2,318,63,28.9,223,142.6,0,2,0,27,10
K Nitish Kumar Reddy (SRH),2024-2024,13,11,2,303,76*,33.66,212,142.92,0,2,0,15,21
JM Bairstow (PBKS),2024-2024,11,11,1,298,108*,29.8,195,152.82,1,0,1,33,14
SM Curran (PBKS),2024-2024,13,12,2,270,63*,27,219,123.28,0,2,1,24,6
RA Jadeja (CSK),2024-2024,14,11,5,267,57*,44.5,187,142.78,0,1,0,22,8
C Green (RCB),2024-2024,13,12,4,255,46,31.87,178,143.25,0,0,0,22,10
Q de Kock (LSG),2024-2024,11,11,0,250,81,22.72,186,134.4,0,3,1,29,9
AM Rahane (CSK),2024-2024,13,12,0,242,45,20.16,196,123.46,0,0,0,23,7
TH David (MI),2024-2024,13,11,3,241,45*,30.12,152,158.55,0,0,1,14,15
AR Patel (DC),2024-2024,14,12,4,235,66,29.37,179,131.28,0,2,1,19,10
A Badoni (LSG),2024-2024,14,12,4,235,55*,29.37,171,137.42,0,2,1,22,5
WG Jacks (RCB),2024-2024,8,8,1,230,100*,32.85,131,175.57,1,1,0,16,18
AD Russell (KKR),2024-2024,15,9,2,222,64*,31.71,120,185,0,1,0,20,16
R Ravindra (CSK),2024-2024,10,10,0,222,61,22.2,138,160.86,0,1,1,22,12
AK Markram (SRH),2024-2024,11,11,2,220,50,24.44,177,124.29,0,1,1,18,4
HH Pandya (MI),2024-2024,14,13,1,216,46,18,151,143.04,0,0,1,17,11
Shahbaz Ahmed (SRH),2024-2024,16,12,3,215,59*,23.88,166,129.51,0,1,1,7,13
RR Rossouw (PBKS),2024-2024,8,8,0,211,61,26.37,116,181.89,0,1,1,25,11
DA Miller (GT),2024-2024,9,9,3,210,55,35,139,151.07,0,1,0,20,8
PP Shaw (DC),2024-2024,8,8,0,198,66,24.75,121,163.63,0,1,0,30,5
DC Jurel (RR),2024-2024,15,11,3,195,56*,24.37,141,138.29,0,2,1,18,7
AR Sharma (PBKS),2024-2024,11,9,2,189,61,27,113,167.25,0,1,0,10,15
R Tewatia (GT),2024-2024,12,9,2,188,36*,26.85,129,145.73,0,0,0,24,5
JM Sharma (PBKS),2024-2024,14,12,1,187,32*,17,142,131.69,0,0,1,9,12
SD Hope (DC),2024-2024,9,9,1,183,41,22.87,122,150,0,0,0,12,12
Abdul Samad (SRH),2024-2024,16,12,2,182,37*,18.2,108,168.51,0,0,1,15,11
DA Warner (DC),2024-2024,8,8,0,168,52,21,125,134.4,0,1,0,17,10
RK Singh (KKR),2024-2024,15,11,2,168,26,18.66,113,148.67,0,0,0,13,8
RA Tripathi (SRH),2024-2024,6,6,0,165,55,27.5,115,143.47,0,1,0,18,6
A Raghuvanshi (KKR),2024-2024,10,7,0,163,54,23.28,105,155.23,0,1,0,16,8
MS Dhoni (CSK),2024-2024,14,11,8,161,37*,53.66,73,220.54,0,0,1,14,13
S Dhawan (PBKS),2024-2024,5,5,0,152,70,30.4,121,125.61,0,1,0,18,4
DJ Hooda (LSG),2024-2024,11,9,1,145,50,18.12,105,138.09,0,1,1,16,3
Naman Dhir (MI),2024-2024,7,7,1,140,62*,23.33,79,177.21,0,1,2,12,10
WP Saha (GT),2024-2024,9,9,0,136,39,15.11,115,118.26,0,0,0,18,3
PJ Cummins (SRH),2024-2024,16,10,4,136,35*,22.66,95,143.15,0,0,0,9,8
KH Pandya (LSG),2024-2024,14,12,8,133,43*,33.25,105,126.66,0,0,0,8,5
MM Ali (CSK),2024-2024,8,5,0,128,56,25.6,98,130.61,0,1,0,7,8
M Shahrukh Khan (GT),2024-2024,7,7,0,127,58,18.14,75,169.33,0,1,1,9,9
Ramandeep Singh (KKR),2024-2024,15,9,5,125,35,31.25,62,201.61,0,0,0,5,12
MK Lomror (RCB),2024-2024,10,10,2,125,33,15.62,68,183.82,0,0,2,9,9
SO Hetmyer (RR),2024-2024,12,9,4,113,27*,22.6,69,163.76,0,0,1,9,7
LS Livingstone (PBKS),2024-2024,7,7,2,111,38*,22.2,78,142.3,0,0,1,8,7
N Wadhera (MI),2024-2024,6,6,0,109,49,18.16,84,129.76,0,0,0,9,6
R Powell (RR),2024-2024,10,7,1,103,27,17.16,68,151.47,0,0,0,10,6
Rashid Khan (GT),2024-2024,12,8,3,102,31,20.4,71,143.66,0,0,1,11,3
Anuj Rawat (RCB),2024-2024,5,5,1,98,48,24.5,77,127.27,0,0,0,10,3
R Ashwin (RR),2024-2024,15,9,3,86,29,14.33,74,116.21,0,0,1,5,4
Arshad Khan (LSG),2024-2024,4,4,2,83,58*,41.5,54,153.7,0,1,1,6,5
V Shankar (GT),2024-2024,7,7,2,83,17,16.6,72,115.27,0,0,0,7,2
Harpreet Brar (PBKS),2024-2024,13,7,5,75,29,37.5,54,138.88,0,0,0,8,2
D Brevis (MI),2024-2024,3,3,0,69,46,23,59,116.94,0,0,1,3,5
MA Agarwal (SRH),2024-2024,4,4,0,64,32,16,57,112.28,0,0,0,8,1
Rahmanullah Gurbaz (KKR),2024-2024,3,2,0,62,39,31,46,134.78,0,0,0,7,4
A Taide (PBKS),2024-2024,2,2,0,61,46,30.5,39,156.41,0,0,0,7,2
MR Marsh (DC),2024-2024,4,4,0,61,23,15.25,38,160.52,0,0,1,9,3
R Shepherd (MI),2024-2024,6,5,3,57,39*,28.5,21,271.42,0,0,0,5,5
GJ Maxwell (RCB),2024-2024,10,9,0,52,28,5.77,43,120.93,0,0,4,6,2
Sameer Rizvi (CSK),2024-2024,8,5,1,51,21,12.75,43,118.6,0,0,1,4,2
T Kohler-Cadmore (RR),2024-2024,4,3,0,48,20,16,54,88.88,0,0,0,7,1
Kuldeep Yadav (DC),2024-2024,11,5,2,47,35*,15.66,41,114.63,0,0,1,6,1
Sikandar Raza (PBKS),2024-2024,2,2,0,43,28,21.5,38,113.15,0,0,0,2,2
MK Pandey (KKR),2024-2024,1,1,0,42,42,42,31,135.48,0,0,0,2,2
N Rana (KKR),2024-2024,2,2,0,42,33,21,34,123.52,0,0,0,5,1
Azmatullah Omarzai (GT),2024-2024,7,4,0,42,17,10.5,33,127.27,0,0,0,2,2
D Padikkal (LSG),2024-2024,7,7,0,38,13,5.42,53,71.69,0,0,2,3,0
Swapnil Singh (RCB),2024-2024,7,5,3,37,15*,18.5,21,176.19,0,0,1,3,3
Mohammad Nabi (MI),2024-2024,7,5,1,35,23,8.75,31,112.9,0,0,1,2,2
SB Dubey (RR),2024-2024,4,3,1,33,25,16.5,19,173.68,0,0,1,3,2
KV Sharma (RCB),2024-2024,9,3,0,31,20,10.33,15,206.66,0,0,0,2,3
Rasikh Salam (DC),2024-2024,8,4,0,28,10,7,30,93.33,0,0,0,4,0
